,Year,Dato,Console,Company,Sales
0,2011,anual,Nintendo 3DS,Nintendo,12560000.0
1,2012,anual,Nintendo 3DS,Nintendo,13480000.0
2,2013,anual,Nintendo 3DS,Nintendo,14310000.0
3,2014,anual,Nintendo 3DS,Nintendo,9740000.0
4,2015,anual,Nintendo 3DS,Nintendo,7330000.0
5,2016,anual,Nintendo 3DS,Nintendo,7590000.0
6,2017,anual,Nintendo 3DS,Nintendo,6190000.0
7,2018,anual,Nintendo 3DS,Nintendo,3500000.0
8,2008,anual,Nintendo DS,Nintendo,29470000.0
9,2009,anual,Nintendo DS,Nintendo,27280000.0
10,2010,anual,Nintendo DS,Nintendo,20550000.0
11,2011,anual,Nintendo DS,Nintendo,8760000.0
12,2012,anual,Nintendo DS,Nintendo,3010000.0
13,2013,anual,Nintendo DS,Nintendo,820000.0
15,2017,anual,Nintendo Switch,Nintendo,11850000.0
16,2018,anual,Nintendo Switch,Nintendo,17050000.0
17,2008,anual,Nintendo Wii,Nintendo,24090000.0
18,2009,anual,Nintendo Wii,Nintendo,21050000.0
19,2010,anual,Nintendo Wii,Nintendo,17260000.0
20,2011,anual,Nintendo Wii,Nintendo,11490000.0
21,2012,anual,Nintendo Wii,Nintendo,5080000.0
22,2013,anual,Nintendo Wii,Nintendo,1950000.0
23,2014,anual,Nintendo Wii,Nintendo,520000.0
24,2015,anual,Nintendo Wii,Nintendo,70000.0
26,2012,anual,Nintendo Wii U,Nintendo,2170000.0
27,2013,anual,Nintendo Wii U,Nintendo,3100000.0
28,2014,anual,Nintendo Wii U,Nintendo,3640000.0
29,2015,anual,Nintendo Wii U,Nintendo,3460000.0
30,2016,anual,Nintendo Wii U,Nintendo,1160000.0
31,2017,anual,Nintendo Wii U,Nintendo,100000.0
33,2011,anual,Sony PS Vita,Sony,480000.0
34,2012,anual,Sony PS Vita,Sony,3690000.0
35,2013,anual,Sony PS Vita,Sony,3400000.0
36,2014,anual,Sony PS Vita,Sony,2300000.0
37,2015,anual,Sony PS Vita,Sony,2680000.0
38,2016,anual,Sony PS Vita,Sony,2040000.0
39,2017,anual,Sony PS Vita,Sony,720000.0
40,2018,anual,Sony PS Vita,Sony,220000.0
42,2008,anual,Sony PS3,Sony,10460000.0
43,2009,anual,Sony PS3,Sony,13260000.0
44,2010,anual,Sony PS3,Sony,13830000.0
45,2011,anual,Sony PS3,Sony,14420000.0
46,2012,anual,Sony PS3,Sony,11970000.0
47,2013,anual,Sony PS3,Sony,8260000.0
48,2014,anual,Sony PS3,Sony,3560000.0
49,2015,anual,Sony PS3,Sony,1340000.0
50,2016,anual,Sony PS3,Sony,520000.0
51,2017,anual,Sony PS3,Sony,110000.0
53,2013,anual,Sony PS4,Sony,4490000.0
54,2014,anual,Sony PS4,Sony,14590000.0
55,2015,anual,Sony PS4,Sony,17510000.0
56,2016,anual,Sony PS4,Sony,17590000.0
57,2017,anual,Sony PS4,Sony,19640000.0
58,2018,anual,Sony PS4,Sony,18000000.0
59,2008,anual,Sony PSP,Sony,14050000.0
60,2009,anual,Sony PSP,Sony,9920000.0
61,2010,anual,Sony PSP,Sony,9360000.0
62,2011,anual,Sony PSP,Sony,7380000.0
63,2012,anual,Sony PSP,Sony,4220000.0
64,2013,anual,Sony PSP,Sony,2970000.0
65,2014,anual,Sony PSP,Sony,390000.0
67,2013,anual,Xbox One,Microsoft,3080000.0
68,2014,anual,Xbox One,Microsoft,7910000.0
69,2015,anual,Xbox One,Microsoft,8630000.0
70,2016,anual,Xbox One,Microsoft,8369999.999999999
71,2017,anual,Xbox One,Microsoft,8210000.000000001
72,2018,anual,Xbox One,Microsoft,6960000.0
73,2008,anual,Xbox360,Microsoft,11160000.0
74,2009,anual,Xbox360,Microsoft,10360000.0
75,2010,anual,Xbox360,Microsoft,13530000.0
76,2011,anual,Xbox360,Microsoft,13950000.0
77,2012,anual,Xbox360,Microsoft,10690000.0
78,2013,anual,Xbox360,Microsoft,6240000.0
79,2014,anual,Xbox360,Microsoft,2600000.0
80,2015,anual,Xbox360,Microsoft,930000.0
81,2016,anual,Xbox360,Microsoft,390000.0
82,2017,anual,Xbox360,Microsoft,60000.0
